location,year,week,total_specimens,total_A,total_B,percent_positive,percent_A,percent_B
Texas,2010,46,447,6,10,3.58,1.34,2.24
Utah,2010,46,277,40,0,14.44,14.44,0
Vermont,2010,46,X,0,X,X,X,X
Virginia,2010,46,63,1,0,1.59,1.59,0
Washington,2010,46,152,5,0,3.29,3.29,0
West Virginia,2010,46,176,5,0,2.84,2.84,0
Wisconsin,2010,46,122,2,0,1.64,1.64,0
Wyoming,2010,46,20,0,0,0,0,0
Puerto Rico,2010,46,X,0,X,X,X,X
Virgin Islands,2010,46,0,0,0,0,X,X
New York City,2010,46,X,0,X,X,X,X
Alabama,2010,47,97,5,12,17.53,5.15,12.37
Alaska,2010,47,29,0,0,0,0,0
Arizona,2010,47,69,8,1,13.04,11.59,1.45
Arkansas,2010,47,36,2,0,5.56,5.56,0
California,2010,47,223,1,5,2.69,0.45,2.24
Colorado,2010,47,205,11,0,5.37,5.37,0
Connecticut,2010,47,79,2,0,2.53,2.53,0
Delaware,2010,47,69,0,0,0,0,0
District of Columbia,2010,47,X,0,X,X,X,X
Florida,2010,47,700,122,61,26.14,17.43,8.71
Georgia,2010,47,861,9,153,18.82,1.05,17.77
Hawaii,2010,47,163,5,7,7.36,3.07,4.29
Idaho,2010,47,X,0,X,X,X,X
Illinois,2010,47,38,5,0,13.16,13.16,0
Indiana,2010,47,84,0,0,0,0,0
Iowa,2010,47,43,0,1,2.33,0,2.33
Kansas,2010,47,11,0,0,0,0,0
Kentucky,2010,47,51,4,0,7.84,7.84,0
Louisiana,2010,47,136,4,5,6.62,2.94,3.68
Maine,2010,47,X,0,X,X,X,X
Maryland,2010,47,26,1,0,3.85,3.85,0
Massachusetts,2010,47,21,0,0,0,0,0
Michigan,2010,47,X,0,X,X,X,X
Minnesota,2010,47,104,16,0,15.38,15.38,0
Mississippi,2010,47,X,0,X,X,X,X
Missouri,2010,47,184,1,0,0.54,0.54,0
Montana,2010,47,33,2,0,6.06,6.06,0
Nebraska,2010,47,39,0,0,0,0,0
Nevada,2010,47,X,0,X,X,X,X
New Hampshire,2010,47,11,2,0,18.18,18.18,0
New Jersey,2010,47,X,0,X,X,X,X
New Mexico,2010,47,X,0,X,X,X,X
New York,2010,47,534,27,1,5.24,5.06,0.19
North Carolina,2010,47,12,2,2,33.33,16.67,16.67
North Dakota,2010,47,49,2,0,4.08,4.08,0
Ohio,2010,47,64,2,0,3.13,3.13,0
Oklahoma,2010,47,48,1,0,2.08,2.08,0
Oregon,2010,47,11,0,0,0,0,0
Pennsylvania,2010,47,135,16,2,13.33,11.85,1.48
Rhode Island,2010,47,X,0,X,X,X,X
South Carolina,2010,47,61,2,0,3.28,3.28,0
South Dakota,2010,47,23,0,1,4.35,0,4.35
Tennessee,2010,47,29,0,0,0,0,0
Texas,2010,47,446,16,11,6.05,3.59,2.47
Utah,2010,47,294,34,3,12.59,11.56,1.02
Vermont,2010,47,X,0,X,X,X,X
Virginia,2010,47,31,1,0,3.23,3.23,0
Washington,2010,47,143,7,0,4.9,4.9,0
West Virginia,2010,47,147,0,0,0,0,0
Wisconsin,2010,47,91,3,0,3.3,3.3,0
Wyoming,2010,47,16,0,0,0,0,0
Puerto Rico,2010,47,X,0,X,X,X,X
Virgin Islands,2010,47,0,0,0,0,X,X
New York City,2010,47,X,0,X,X,X,X
Alabama,2010,48,89,3,13,17.98,3.37,14.61
Alaska,2010,48,36,0,0,0,0,0
Arizona,2010,48,104,12,2,13.46,11.54,1.92
Arkansas,2010,48,27,2,0,7.41,7.41,0
California,2010,48,327,3,13,4.89,0.92,3.98
Colorado,2010,48,196,9,0,4.59,4.59,0
Connecticut,2010,48,97,3,0,3.09,3.09,0
Delaware,2010,48,90,5,0,5.56,5.56,0
District of Columbia,2010,48,13,0,0,0,0,0
Florida,2010,48,631,85,49,21.24,13.47,7.77
Georgia,2010,48,740,8,125,17.97,1.08,16.89
Hawaii,2010,48,123,2,15,13.82,1.63,12.2
Idaho,2010,48,X,0,X,X,X,X
Illinois,2010,48,32,6,0,18.75,18.75,0
Indiana,2010,48,114,0,3,2.63,0,2.63
Iowa,2010,48,75,2,2,5.33,2.67,2.67
Kansas,2010,48,14,1,0,7.14,7.14,0
Kentucky,2010,48,20,9,5,70,45,25
Louisiana,2010,48,178,6,2,4.49,3.37,1.12
Maine,2010,48,X,0,X,X,X,X
Maryland,2010,48,25,3,1,16,12,4
Massachusetts,2010,48,27,0,0,0,0,0
Michigan,2010,48,X,0,X,X,X,X
Minnesota,2010,48,118,9,0,7.63,7.63,0
Mississippi,2010,48,X,0,X,X,X,X
Missouri,2010,48,181,3,0,1.66,1.66,0
Montana,2010,48,20,1,0,5,5,0
Nebraska,2010,48,20,0,0,0,0,0
Nevada,2010,48,X,0,X,X,X,X
New Hampshire,2010,48,27,0,0,0,0,0
New Jersey,2010,48,X,0,X,X,X,X
New Mexico,2010,48,16,1,3,25,6.25,18.75
New York,2010,48,654,36,0,5.5,5.5,0
North Carolina,2010,48,23,3,4,30.43,13.04,17.39
North Dakota,2010,48,44,1,0,2.27,2.27,0
Ohio,2010,48,38,2,1,7.89,5.26,2.63
Oklahoma,2010,48,50,5,0,10,10,0
Oregon,2010,48,10,1,0,10,10,0
Pennsylvania,2010,48,206,15,4,9.22,7.28,1.94
Rhode Island,2010,48,X,0,X,X,X,X
South Carolina,2010,48,109,2,2,3.67,1.83,1.83
South Dakota,2010,48,24,0,3,12.5,0,12.5
Tennessee,2010,48,37,0,2,5.41,0,5.41
Texas,2010,48,520,18,7,4.81,3.46,1.35
Utah,2010,48,341,50,2,15.25,14.66,0.59
Vermont,2010,48,X,0,X,X,X,X
Virginia,2010,48,42,0,0,0,0,0
Washington,2010,48,175,9,0,5.14,5.14,0
West Virginia,2010,48,152,2,0,1.32,1.32,0
Wisconsin,2010,48,119,5,0,4.2,4.2,0
Wyoming,2010,48,21,2,0,9.52,9.52,0
Puerto Rico,2010,48,X,0,X,X,X,X
Virgin Islands,2010,48,0,0,0,0,X,X
New York City,2010,48,X,0,X,X,X,X
Alabama,2010,49,106,2,36,35.85,1.89,33.96
Alaska,2010,49,37,1,1,5.41,2.7,2.7
Arizona,2010,49,140,44,11,39.29,31.43,7.86
Arkansas,2010,49,20,0,1,5,0,5
California,2010,49,324,7,11,5.56,2.16,3.4
Colorado,2010,49,245,13,0,5.31,5.31,0
Connecticut,2010,49,112,23,0,20.54,20.54,0
Delaware,2010,49,92,2,0,2.17,2.17,0
District of Columbia,2010,49,13,0,0,0,0,0
Florida,2010,49,490,72,33,21.43,14.69,6.73
Georgia,2010,49,764,9,131,18.32,1.18,17.15
Hawaii,2010,49,184,5,24,15.76,2.72,13.04
Idaho,2010,49,X,0,X,X,X,X
Illinois,2010,49,52,15,0,28.85,28.85,0
Indiana,2010,49,108,2,3,4.63,1.85,2.78
Iowa,2010,49,82,2,1,3.66,2.44,1.22
Kansas,2010,49,X,0,X,X,X,X
Kentucky,2010,49,75,18,1,25.33,24,1.33
Louisiana,2010,49,217,2,11,5.99,0.92,5.07
Maine,2010,49,X,0,X,X,X,X
Maryland,2010,49,41,8,0,19.51,19.51,0
Massachusetts,2010,49,24,2,0,8.33,8.33,0
Michigan,2010,49,13,5,1,46.15,38.46,7.69
Minnesota,2010,49,148,14,1,10.14,9.46,0.68
Mississippi,2010,49,X,0,X,X,X,X
Missouri,2010,49,226,10,0,4.42,4.42,0
Montana,2010,49,45,3,0,6.67,6.67,0
Nebraska,2010,49,41,0,1,2.44,0,2.44
Nevada,2010,49,19,7,0,36.84,36.84,0
New Hampshire,2010,49,19,1,0,5.26,5.26,0
New Jersey,2010,49,X,0,X,X,X,X
New Mexico,2010,49,21,1,2,14.29,4.76,9.52
New York,2010,49,538,63,1,11.9,11.71,0.19
North Carolina,2010,49,16,1,3,25,6.25,18.75
North Dakota,2010,49,45,3,0,6.67,6.67,0
Ohio,2010,49,28,0,0,0,0,0
Oklahoma,2010,49,55,6,0,10.91,10.91,0
Oregon,2010,49,16,0,0,0,0,0
Pennsylvania,2010,49,191,29,2,16.23,15.18,1.05
Rhode Island,2010,49,X,0,X,X,X,X
South Carolina,2010,49,132,2,3,3.79,1.52,2.27
South Dakota,2010,49,31,3,2,16.13,9.68,6.45
Tennessee,2010,49,60,2,4,10,3.33,6.67
Texas,2010,49,549,28,21,8.93,5.1,3.83
Utah,2010,49,387,111,0,28.68,28.68,0
Vermont,2010,49,X,0,X,X,X,X
Virginia,2010,49,60,3,3,10,5,5
Washington,2010,49,206,7,0,3.4,3.4,0
West Virginia,2010,49,147,3,0,2.04,2.04,0
Wisconsin,2010,49,136,3,0,2.21,2.21,0
Wyoming,2010,49,19,0,0,0,0,0
Puerto Rico,2010,49,X,0,X,X,X,X
Virgin Islands,2010,49,0,0,0,0,X,X
New York City,2010,49,X,0,X,X,X,X
Alabama,2010,50,130,6,50,43.08,4.62,38.46
Alaska,2010,50,30,1,0,3.33,3.33,0
Arizona,2010,50,175,72,17,50.86,41.14,9.71
Arkansas,2010,50,30,0,4,13.33,0,13.33
California,2010,50,321,7,10,5.3,2.18,3.12
Colorado,2010,50,259,21,2,8.88,8.11,0.77
Connecticut,2010,50,110,21,0,19.09,19.09,0
Delaware,2010,50,98,4,1,5.1,4.08,1.02
District of Columbia,2010,50,12,1,1,16.67,8.33,8.33
Florida,2010,50,767,131,68,25.95,17.08,8.87
Georgia,2010,50,1057,29,215,23.08,2.74,20.34
Hawaii,2010,50,266,7,25,12.03,2.63,9.4
Idaho,2010,50,X,0,X,X,X,X
Illinois,2010,50,48,17,0,35.42,35.42,0
Indiana,2010,50,98,11,5,16.33,11.22,5.1
Iowa,2010,50,82,13,6,23.17,15.85,7.32
Kansas,2010,50,13,3,0,23.08,23.08,0
Kentucky,2010,50,80,22,10,40,27.5,12.5
Louisiana,2010,50,303,12,59,23.43,3.96,19.47
Maine,2010,50,13,1,1,15.38,7.69,7.69
